PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,GameUID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,PlayID,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-20,12:44:24.58,1,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.53062,4.507181,1.938754,2012.71947,359.830797,6:00,2.01418,0.38862,5.35739,-40.91601,-3.30634,0.01283,1.46177,1.61596,54.07003,-6.509394,1.942128,0.441389,,,,,,,,,,,,0.67264,-4.60862,0.0296,50,0.71362,-2.96551,-87.64671,11.68819,0.50972,15.36897,-35.6664,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,0995a740-add4-11f0-be4b-cd08b4f7fef8,85.39515,4.4606,,,,,,,,,2025-10-20,16:44:24.58,2025-10-20T12:44:24.5815296-04:00,2025-10-20T16:44:24.5815296Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.64011,-85.45191,7.68449,2.01908,6.59476,-17.8332,-0.3887,-2.89271,0.25486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3fe1f5a9-8402-4adb-b00b-6ef1a682c9d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-10-20,12:44:44.42,1,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.17491,3.159326,2.099283,2340.05342,358.199073,6:00,2.06457,0.32354,5.23761,-41.38876,-3.20693,0.13354,0.62302,1.66696,54.03329,-7.931447,2.134333,0.444734,39.30878,-14.18903,178.777833,,,,,1.6057,1.6057,-105.278598,0.05677,0.59189,-4.06311,0.12413,50,1.06466,-3.18247,-87.21031,9.57031,0.44458,15.08726,-35.22598,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,155d3f70-add4-11f0-be4b-cd08b4f7fef8,84.75286,4.14162,,,,0.80521,,2.7609,0.80521,-1.61687,2025-10-20,16:44:44.42,2025-10-20T12:44:44.4287488-04:00,2025-10-20T16:44:44.4287488Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.76021,-85.06649,7.54363,2.06893,4.56489,-17.61299,-0.32359,-3.1193,0.22229,,2.76277,-56.08672,,,,,,,,0.80569,-14.18392,,,,,,,,-1.61691,1.19656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,4ef49797-68e0-41d9-a897-ddf3679a89c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-10-20,12:45:05.04,1,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,0,2,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,58.13522,5.350177,1.647743,752.553952,320.428675,4:45,2.01155,0.14739,5.35464,-38.49742,-0.13319,1.01937,2.19767,1.27451,53.32637,-5.053292,1.915503,0.445795,,,,,,,,,,,,-0.48291,-1.32717,0.20178,50,0.55158,-2.39749,-86.96847,12.56705,-0.35885,15.57492,-33.16029,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,21bcf8f0-add4-11f0-be4b-cd08b4f7fef8,84.55115,4.80884,,,,,,,,,2025-10-20,16:45:05.04,2025-10-20T12:45:05.0408448-04:00,2025-10-20T16:45:05.0408448Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.64068,-84.72617,7.78746,2.01719,7.79301,-16.58014,-0.1471,-2.44916,-0.17943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,4d998894-2368-4b56-b6dc-0efd0823e593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-10-20,12:45:59.40,1,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,0,2,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,58.46495,5.14906,1.118846,736.253117,19.294819,6:45,1.97778,0.06826,5.22888,-39.86774,-1.57697,-0.95382,1.93203,0.69878,53.48116,-5.590505,0.868902,0.445367,,,,,,,,,,,,1.43382,-2.83496,0.17613,50,0.57632,-1.80582,-87.57003,12.37235,1.07486,16.34955,-34.29927,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,42255420-add4-11f0-be4b-cd08b4f7fef8,84.63224,4.98379,,,,,,,,,2025-10-20,16:45:59.40,2025-10-20T12:45:59.4059776-04:00,2025-10-20T16:45:59.4059776Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.76652,-85.25542,8.17477,1.98416,7.51659,-17.14963,-0.06875,-1.65365,0.53743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,0b020811-2d67-482b-bd62-af2313ba8897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-10-20,12:46:22.58,1,5,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,0,2,2,Fastball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,59.16654,7.193904,1.047857,2817.567914,335.516683,5:15,1.91914,0.41724,5.2226,-39.50778,-2.54406,1.56209,3.2171,1.21247,54.80308,-3.363488,1.456169,0.437582,,,,,,,,,,,,-1.34973,-4.24693,-0.20354,50,0.06778,-1.44229,-87.88015,15.69949,-1.04751,13.33452,-35.47012,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,4fe253b0-add4-11f0-be4b-cd08b4f7fef8,86.13803,4.36346,,,,,,,,,2025-10-20,16:46:22.58,2025-10-20T12:46:22.5806336-04:00,2025-10-20T16:46:22.5806336Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.77479,-86.00515,6.66726,1.92466,10.71195,-17.73506,-0.4167,-1.58958,-0.52376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2b18f258-544a-4a05-ad3d-1c934a9281b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-10-20,12:47:12.72,2,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.70983,5.792747,2.333041,903.958433,9.20638,6:15,1.99144,0.40664,5.32232,-39.71841,-3.86299,-0.76138,2.36325,1.82053,55.66756,-4.841371,2.133409,0.430972,23.58879,-4.102851,-55.531318,1282.831132,,,,11.08643,11.08643,-65.917018,0.294511,1.50878,-5.40985,0.1007,50,0.41796,-3.70644,-88.87672,13.81554,1.20066,13.34505,-36.47908,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,6dc4ee60-add4-11f0-be4b-cd08b4f7fef8,87.4592,4.04228,,,,1.97354,,-1.15901,1.97354,-1.85379,2025-10-20,16:47:12.72,2025-10-20T12:47:12.7202304-04:00,2025-10-20T16:47:12.7202304Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.67615,-87.00659,6.67252,1.99583,8.70348,-18.23954,-0.40692,-3.53819,0.60033,184.84442,-1.15874,19.51756,-0.75796,,,,,,,1.97409,-2.49951,-14.27924,,,,,,,-1.8542,-28.43134,1.22799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,4c0897a1-46cd-40e5-98f2-d8d39c63ddec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-10-20,12:47:44.27,2,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,1,1,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,58.40808,4.18384,1.260632,1765.023461,347.262408,5:30,1.89211,0.23092,5.10799,-37.58199,0.15764,0.16358,1.42916,1.04722,54.63764,-5.853145,1.303376,0.442151,,,,,,,,,,,,0.19583,-0.44984,0.03448,50,0.71474,-1.90031,-87.13513,10.69712,0.14976,12.85755,-32.51804,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,809a6740-add4-11f0-be4b-cd08b4f7fef8,85.24794,3.77045,,,,,,,,,2025-10-20,16:47:44.27,2025-10-20T12:47:44.2757632-04:00,2025-10-20T16:47:44.2757632Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.88896,-85.32933,6.42877,1.8964,6.13007,-16.25902,-0.23094,-1.87927,0.07488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,e36f7778-7f83-49b3-9ed9-aadb42eeda7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-10-20,12:48:04.56,2,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,1,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.73261,2.159577,2.82842,2583.784305,337.300733,5:15,1.94503,0.41299,5.25151,-39.25451,-2.42291,1.35449,0.04555,2.32085,55.52218,-8.301594,3.183941,0.436799,,,,,,,,,,,,-0.6437,-2.39508,0.18385,50,1.17837,-4.18845,-87.67249,7.88178,-0.50052,12.51052,-34.03636,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,8cadae70-add4-11f0-be4b-cd08b4f7fef8,86.29241,3.21043,,,,,,,,,2025-10-20,16:48:04.56,2025-10-20T12:48:04.5612032-04:00,2025-10-20T16:48:04.5612032Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.74575,-85.90606,6.25526,1.95197,3.076,-17.01818,-0.41252,-4.25912,-0.25026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,ecbf29cd-b445-47d7-bd78-7b707d87a559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-10-20,12:48:29.68,2,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,1,2,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.378,3.937174,1.832866,1604.355324,321.14315,4:45,1.96981,0.33372,5.2818,-39.22073,-2.1413,2.65579,1.20115,1.7167,54.29561,-6.644738,2.530068,0.438266,9.96987,-40.52398,-72.122754,,,,,3.58,2.13208,-66.818987,0.122573,-2.10087,-3.20709,0.04289,50,0.82508,-2.57724,-89.20257,10.65418,-1.6221,17.81105,-34.65027,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,9ba0e410-add4-11f0-be4b-cd08b4f7fef8,86.00353,5.08239,,,,1.26608,,0.95454,1.26608,-1.88136,2025-10-20,16:48:29.68,2025-10-20T12:48:29.6898560-04:00,2025-10-20T16:48:29.6898560Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.71422,-86.71478,8.90553,1.97522,5.81434,-17.32514,-0.33291,-2.80381,-0.81105,,0.94868,3.70941,,,,,,,,1.28241,-10.32912,,,,,,,,-1.86317,-11.50016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,c3bbc144-a04a-4619-9ab5-6c68b46af9c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-10-20,12:48:47.53,2,5,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Emma",100000001224,Right,PUR_BOI_SB,Undefined,1,Top,1,2,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.54778,7.452986,0.700223,799.489954,334.78232,5:15,1.97836,0.36389,5.32119,-40.35384,-2.3937,1.61252,3.35963,0.94146,53.66415,-3.391548,1.122755,0.44344,,,,,,,,,,,,-1.47429,-4.36862,-0.22311,50,0.05238,-0.89954,-87.14701,16.03636,-1.10892,14.75071,-35.45999,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251020-BittingerStadium-Private-2,a6590810-add4-11f0-be4b-cd08b4f7fef8,85,4.88363,,,,,,,,,2025-10-20,16:48:47.53,2025-10-20T12:48:47.5342848-04:00,2025-10-20T16:48:47.5342848Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2f0b6c4e-1b16-4755-8ce1-f0ad9acfecc8,37.67517,-85.03529,7.37535,1.98478,10.9599,-17.72999,-0.36326,-1.05829,-0.55446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,f9bfdc11-cf28-4258-917e-0abcf4949d08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
